name,location,personal_contact,manager_contact,tags,bio,notes
"Bas van Daalen","unknown","tbd","tbd","producer|writer|unknown","Producer/writer represented on Plush roster with commercial dance and pop songwriting credits.","Imported from Plush roster PDF"
"Dre Skull","unknown","tbd","tbd","producer|writer|unknown","Producer/writer with global-facing credits across modern dance and pop lanes.","Imported from Plush roster PDF"
"Eli Brown","unknown","tbd","tbd","producer|writer|unknown","Producer/writer with established club and crossover dance production experience.","Imported from Plush roster PDF"
"Jakke Erixson","unknown","tbd","tbd","producer|writer|unknown","Swedish producer/songwriter with major international writing and production collaborations.","Imported from Plush roster PDF"
"Johnny Goldstein","unknown","tbd","tbd","producer|writer|unknown","Multi-platinum producer/songwriter with global artist and chart success.","Imported from Plush roster PDF"
"Huynh Jordi","unknown","tbd","tbd","producer|writer|unknown","Artist/producer/songwriter with vocal performance and social-first audience growth.","Imported from Plush roster PDF"
"Ricky Manning","unknown","tbd","tbd","singer|songwriter|producer|unknown","Singer/songwriter/producer with streaming traction and active collaborative sessions.","Imported from Plush roster PDF"
"Eemu","unknown","tbd","tbd","producer|writer|unknown","Award-winning producer/writer and musician with broad catalog across major artists.","Imported from Plush roster PDF"
"The Elements","unknown","tbd","tbd","producer|writer|unknown","Production duo known for engineering-first workflow and crossover pop/hip-hop outputs.","Imported from Plush roster PDF"
"Futuristics","unknown","tbd","tbd","producer|writer|unknown","Grammy-nominated songwriting/production duo with major label and global artist credits.","Imported from Plush roster PDF"
"Monarch","unknown","tbd","tbd","producer|writer|unknown","Multi-platinum production/songwriting duo with high-volume international release work.","Imported from Plush roster PDF"
"Koen Heldens","unknown","tbd","tbd","mix engineer|producer|unknown","Award-winning mix engineer and producer with major catalog and charting project experience.","Imported from Plush roster PDF"
